agent,group,model,fit_AS,Unnamed: 0,id,fit_DB,fit_VS,fit_SG,r2,lambda,beta,tau,par
1,4,DB,385.0577348250586,12960,13,396.2832868085833,422.0134525188077,407.479901150116,0.2508654629770643,0.8125792531915752,0.44689626153353845,0.042716920753672935,0.21428570000000002
1,4,VS,385.0577348250586,12960,13,396.2832868085833,422.0134525188077,407.479901150116,0.24365588910378994,2.1714220206699673,0.05486425197741188,0.11622815809533998,0.116
1,4,SG,385.0577348250586,12960,13,396.2832868085833,422.0134525188077,407.479901150116,0.2602641684315716,1.9767075644679104,0.12807473324332605,0.10000031874921564,18.999999999999996
3,4,AS,323.0067151534201,18480,14,325.2849389229187,324.1864185482888,325.40326797768586,0.39864168363160213,1.2612273547417154,0.1883773279321909,0.05732505214429218,
3,4,DB,323.0067151534201,18480,14,325.2849389229187,324.1864185482888,325.40326797768586,0.3944001965477022,1.285847356880822,0.18867255512666278,0.0578957134968661,0.21428570000000002
3,4,VS,323.0067151534201,18480,14,325.2849389229187,324.1864185482888,325.40326797768586,0.3964453687747566,1.1735807766729884,0.19843593520896266,0.055119568336394274,0.11721513005749712
3,4,SG,323.0067151534201,18480,14,325.2849389229187,324.1864185482888,325.40326797768586,0.39417989722321783,1.171044125293605,0.18890967461206476,0.056638950185914035,18.999999999999996
4,4,AS,396.0485277490049,22080,15,400.3736189507953,410.9867312300382,396.6430497554039,0.26265596139634145,0.8372533588728766,0.45614176549851976,0.05019721664170027,
4,4,DB,396.0485277490049,22080,15,400.3736189507953,410.9867312300382,396.6430497554039,0.2546037152936157,0.8482810470521839,0.45227795587318564,0.05243945787342723,0.21428570000000002
4,4,VS,396.0485277490049,22080,15,400.3736189507953,410.9867312300382,396.6430497554039,0.23484473496206765,0.85297348189995,0.4123219933172103,0.06061481357066699,0.116
4,4,SG,396.0485277490049,22080,15,400.3736189507953,410.9867312300382,396.6430497554039,0.26154910901204276,0.8001452854776226,0.459852650515917,0.050122164278370754,18.999999999999996
4,6,AS,387.50177920262377,480,16,389.9979536082344,386.6589786364878,388.0802308837271,0.17862451956878844,0.9283893744431546,0.4384781410002265,0.04904176146094984,
4,6,DB,387.50177920262377,480,16,389.9979536082344,386.6589786364878,388.0802308837271,0.17179754175403156,0.9394845253756833,0.4339609794856678,0.050261971055949595,0.21428570000000002
4,6,VS,387.50177920262377,480,16,389.9979536082344,386.6589786364878,388.0802308837271,0.1779744368278613,1.0078777288498797,0.4002650430836728,0.04953848534670336,0.116
