agent,group,model,fit_SG,fit_VS,id,fit_DB,fit_AS,Unnamed: 0,r2,lambda,beta,tau,par
1,8,AS,439.4137166078421,424.9393577145374,22,513.4266751071822,735.0863209216961,13680,0.25817811448161065,0.9603148628433738,0.2553249387681886,0.0669711782121717,
1,8,DB,439.4137166078421,424.9393577145374,22,513.4266751071822,735.0863209216961,13680,0.26081804388140406,1.087754995501749,0.20845690558049207,0.07541061427439155,0.24450159576273706
1,8,VS,439.4137166078421,424.9393577145374,22,513.4266751071822,735.0863209216961,13680,0.25339097498019425,1.5176777450654053,0.051818719927831346,0.11358833412998404,0.1191161455703123
1,8,SG,439.4137166078421,424.9393577145374,22,513.4266751071822,735.0863209216961,13680,0.25795533910701157,1.0829551251711351,0.20559417870981747,0.0799267925895102,17.96218499783601
4,8,AS,397.78448744992704,399.6939863660724,23,393.5033290978074,397.8323641833288,20880,0.2593349007976102,0.8594817759968176,0.42062182541822646,0.05247652461929375,
4,8,DB,397.78448744992704,399.6939863660724,23,393.5033290978074,397.8323641833288,20880,0.26739448943276417,0.8453757019148214,0.4590716761834679,0.04948542067598294,0.21428570000000002
4,8,VS,397.78448744992704,399.6939863660724,23,393.5033290978074,397.8323641833288,20880,0.25586902244583365,0.8896034023184487,0.4048467950390091,0.05613069904772661,0.116
4,8,SG,397.78448744992704,399.6939863660724,23,393.5033290978074,397.8323641833288,20880,0.2594240353896822,0.8520715706139185,0.4082064952994542,0.05218623013098515,14.75943688219268
3,16,AS,409.1086194715094,422.57287485746986,24,414.8886872407994,415.7735930053604,5760,0.3293115076663329,0.5333202757931012,0.4919631702272599,0.030576173295861354,
3,16,DB,409.1086194715094,422.57287485746986,24,414.8886872407994,415.7735930053604,5760,0.32553678424309396,0.5046534762369362,0.496096644560711,0.028525253224693337,0.21428570000000002
3,16,VS,409.1086194715094,422.57287485746986,24,414.8886872407994,415.7735930053604,5760,0.31890400416515585,2.0992655158396345,0.006737946999085468,0.14462298983105165,0.116
