agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
2,2,VS,23040,10,0.28893973974649895,0.27899543517683734,0.29660722011701823,0.2967333576371359,378.9890475425598,0.6440474027049352,0.46503252941227613,0.03248590715317679,0.116
2,2,SG,23040,10,0.28893973974649895,0.27899543517683734,0.29660722011701823,0.2967333576371359,384.9975341054321,0.7261461523736528,0.44767175129223086,0.0395302012254961,18.999999999999996
3,2,AS,29280,11,0.32653972003381126,0.2620077873898763,0.30899623387104713,0.328278618413817,377.7445856214674,0.8212883493098508,0.39955682228629574,0.04901104486984925,
3,2,DB,29280,11,0.32653972003381126,0.2620077873898763,0.30899623387104713,0.328278618413817,381.9307602290094,0.8348308101976762,0.3936484795176508,0.05080688973956157,0.21428570000000002
3,2,VS,29280,11,0.32653972003381126,0.2620077873898763,0.30899623387104713,0.328278618413817,387.27213003483376,0.985622016194232,0.32077894939254104,0.05752229459587056,0.116
3,2,SG,29280,11,0.32653972003381126,0.2620077873898763,0.30899623387104713,0.328278618413817,377.8123376836271,0.8031531617968046,0.40499096535761314,0.04762598387923344,15.696749944429863
2,4,AS,10560,12,0.26221889830694645,0.21431571733428126,0.241373581991302,0.2831180893281361,397.0120860984291,1.3200628667831018,0.20660580283785096,0.07355469890433977,
2,4,DB,10560,12,0.26221889830694645,0.21431571733428126,0.241373581991302,0.2831180893281361,402.3815409638737,1.3059949261034733,0.20866547362271431,0.07300953938243568,0.21428570000000002
2,4,VS,10560,12,0.26221889830694645,0.21431571733428126,0.241373581991302,0.2831180893281361,406.2540088604275,1.9607482847894326,0.006737946999085468,0.11129302290246161,0.116
2,4,SG,10560,12,0.26221889830694645,0.21431571733428126,0.241373581991302,0.2831180893281361,397.33322801480136,0.8923955592000699,0.3396571121921788,0.054899651142342895,18.999999999999996
1,4,AS,12960,13,0.2508654629770643,0.24365588910378994,0.2602641684315716,0.26086205495555037,385.0577348250586,0.8132041787721732,0.4417402046001292,0.0419067365785986,
1,4,DB,12960,13,0.2508654629770643,0.24365588910378994,0.2602641684315716,0.26086205495555037,396.2832868085833,0.8125792531915752,0.44689626153353845,0.042716920753672935,0.21428570000000002
1,4,VS,12960,13,0.2508654629770643,0.24365588910378994,0.2602641684315716,0.26086205495555037,422.0134525188077,2.1714220206699673,0.05486425197741188,0.11622815809533998,0.116
1,4,SG,12960,13,0.2508654629770643,0.24365588910378994,0.2602641684315716,0.26086205495555037,407.479901150116,1.9767075644679104,0.12807473324332605,0.10000031874921564,18.999999999999996
3,4,AS,18480,14,0.3944001965477022,0.3964453687747566,0.39417989722321783,0.39864168363160213,323.0067151534201,1.2612273547417154,0.1883773279321909,0.05732505214429218,
3,4,DB,18480,14,0.3944001965477022,0.3964453687747566,0.39417989722321783,0.39864168363160213,325.2849389229187,1.285847356880822,0.18867255512666278,0.0578957134968661,0.21428570000000002
3,4,VS,18480,14,0.3944001965477022,0.3964453687747566,0.39417989722321783,0.39864168363160213,324.1864185482888,1.1735807766729884,0.19843593520896266,0.055119568336394274,0.11721513005749712
3,4,SG,18480,14,0.3944001965477022,0.3964453687747566,0.39417989722321783,0.39864168363160213,325.40326797768586,1.171044125293605,0.18890967461206476,0.056638950185914035,18.999999999999996
4,4,AS,22080,15,0.2546037152936157,0.23484473496206765,0.26154910901204276,0.26265596139634145,396.0485277490049,0.8372533588728766,0.45614176549851976,0.05019721664170027,
